id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f8801c000000000 0xA 4 8 49 44 618.039 2461.6 7454.27 327.12 2461.57 7454.25 638.33 2543.02 7454.34 337.83 2542.99 7454.32 10 9189596963794845696 0 1
0x7f88001800000000 0xA 4 8 50 43 -332.11 2542.92 7454.26 -636.61 2542.88 7454.24 -342.838 2624.33 7454.33 -656.919 2624.3 7454.31 10 9189595142728712192 0 1
0x7f8800a800000000 0xA 4 8 51 42 2.86017 2542.95 7454.29 -332.11 2542.92 7454.26 2.85138 2624.37 7454.36 -342.838 2624.33 7454.33 10 9189595761204002816 0 1
0x7f88013800000000 0xA 4 8 52 41 337.83 2542.99 7454.32 2.86017 2542.95 7454.29 348.541 2624.41 7454.39 2.85138 2624.37 7454.36 10 9189596379679293440 0 1
0x7f8801c800000000 0xA 4 8 53 40 638.33 2543.02 7454.34 337.83 2542.99 7454.32 658.622 2624.44 7454.42 348.541 2624.41 7454.39 10 9189596998154584064 0 1
0x7f88002000000000 0xA 4 8 54 39 -342.838 2624.33 7454.33 -656.919 2624.3 7454.31 -353.566 2705.75 7454.4 -677.228 2705.72 7454.38 10 9189595177088450560 0 1
0x7f8800b000000000 0xA 4 8 55 38 2.85138 2624.37 7454.36 -342.838 2624.33 7454.33 2.84259 2705.79 7454.43 -353.566 2705.75 7454.4 10 9189595795563741184 0 1
0x7f88014000000000 0xA 4 8 56 37 348.541 2624.41 7454.39 2.85138 2624.37 7454.36 359.251 2705.83 7454.46 2.84259 2705.79 7454.43 10 9189596414039031808 0 1
0x7f8801d000000000 0xA 4 8 57 36 658.622 2624.44 7454.42 348.541 2624.41 7454.39 678.913 2705.86 7454.49 359.251 2705.83 7454.46 10 9189597032514322432 0 1
0x7f88002800000000 0xA 4 8 58 35 -353.566 2705.75 7454.4 -677.228 2705.72 7454.38 -364.294 2787.17 7454.47 -697.537 2787.14 7454.44 10 9189595211448188928 0 1
0x7f8800b800000000 0xA 4 8 59 34 2.84259 2705.79 7454.43 -353.566 2705.75 7454.4 2.83379 2787.21 7454.5 -364.294 2787.17 7454.47 10 9189595829923479552 0 1
0x7f88014800000000 0xA 4 8 60 33 359.251 2705.83 7454.46 2.84259 2705.79 7454.43 369.961 2787.25 7454.53 2.83379 2787.21 7454.5 10 9189596448398770176 0 1
0x7f8801d800000000 0xA 4 8 61 32 678.913 2705.86 7454.49 359.251 2705.83 7454.46 699.204 2787.29 7454.56 369.961 2787.25 7454.53 10 9189597066874060800 0 1
0x7f88003000000000 0xA 4 8 62 31 -364.294 2787.17 7454.47 -697.537 2787.14 7454.44 -375.022 2868.59 7454.54 -717.845 2868.55 7454.51 10 9189595245807927296 0 1
0x7f8800c000000000 0xA 4 8 63 30 2.83379 2787.21 7454.5 -364.294 2787.17 7454.47 2.825 2868.63 7454.57 -375.022 2868.59 7454.54 10 9189595864283217920 0 1
